case_id;regiao_administrativa;cobertura_cadastral;evidencia_status;evidencia_endereco;evidencia_valor;n_evidencias;fraude_latente
CASE-01231;Taguatinga;0.84;0;0;0;0;0
CASE-01232;Guará;0.90;0;0;0;0;0
CASE-01233;Samambaia;0.62;1;0;0;1;0
CASE-01234;Samambaia;0.62;0;1;0;1;0
CASE-01235;Samambaia;0.62;0;0;1;1;1
CASE-01236;Samambaia;0.62;1;0;0;1;1
CASE-01237;Samambaia;0.62;0;1;0;1;0
CASE-01238;Guará;0.90;0;0;0;0;0
CASE-01239;Taguatinga;0.84;1;0;0;1;0
CASE-01240;Taguatinga;0.84;0;0;0;0;0
CASE-01241;Sobradinho;0.70;0;0;0;0;0
CASE-01242;Guará;0.90;0;1;0;1;0
CASE-01243;Ceilândia;0.55;1;1;0;2;0
CASE-01244;Samambaia;0.62;1;0;1;2;1
CASE-01245;Gama;0.76;0;0;0;0;0
CASE-01246;Gama;0.76;0;0;0;0;0
CASE-01247;Gama;0.76;0;0;0;0;0
CASE-01248;Guará;0.90;0;0;0;0;0
CASE-01249;Sobradinho;0.70;1;0;1;2;0
CASE-01250;Guará;0.90;0;1;1;2;0
CASE-01251;Sobradinho;0.70;1;1;1;3;1
CASE-01252;Samambaia;0.62;1;1;0;2;0
CASE-01253;Taguatinga;0.84;1;0;1;2;0
CASE-01254;Plano Piloto;0.97;0;0;1;1;0
CASE-01255;Sobradinho;0.70;0;1;0;1;1
CASE-01256;Águas Claras;0.94;1;1;0;2;1
CASE-01257;Águas Claras;0.94;1;1;1;3;1
CASE-01258;Águas Claras;0.94;0;0;1;1;0
CASE-01259;Guará;0.90;0;1;0;1;0
CASE-01260;Águas Claras;0.94;0;1;1;2;1
CASE-01261;Samambaia;0.62;0;0;0;0;0
CASE-01262;Taguatinga;0.84;0;0;1;1;0
CASE-01263;Samambaia;0.62;0;0;0;0;0
CASE-01264;Plano Piloto;0.97;0;0;0;0;0
CASE-01265;Taguatinga;0.84;0;1;0;1;1
CASE-01266;Ceilândia;0.55;1;1;0;2;1
CASE-01267;Guará;0.90;0;0;0;0;0
CASE-01268;Plano Piloto;0.97;1;1;1;3;1
CASE-01269;Guará;0.90;1;1;1;3;1
CASE-01270;Samambaia;0.62;1;0;0;1;0
CASE-01271;Taguatinga;0.84;0;1;0;1;0
CASE-01272;Gama;0.76;0;0;0;0;0
CASE-01273;Sobradinho;0.70;0;0;1;1;0
CASE-01274;Ceilândia;0.55;1;0;1;2;1
CASE-01275;Águas Claras;0.94;0;0;0;0;0
CASE-01276;Taguatinga;0.84;0;0;0;0;0
CASE-01277;Samambaia;0.62;1;1;1;3;0
CASE-01278;Sobradinho;0.70;0;1;0;1;0
CASE-01279;Samambaia;0.62;0;1;0;1;0
CASE-01280;Gama;0.76;0;0;0;0;0
CASE-01281;Plano Piloto;0.97;0;0;0;0;0
CASE-01282;Taguatinga;0.84;0;0;0;0;0
CASE-01283;Taguatinga;0.84;0;0;0;0;0
CASE-01284;Gama;0.76;0;0;0;0;0
CASE-01285;Guará;0.90;0;0;0;0;1
CASE-01286;Sobradinho;0.70;0;1;0;1;0
CASE-01287;Águas Claras;0.94;0;0;0;0;0
CASE-01288;Águas Claras;0.94;0;1;1;2;0
CASE-01289;Samambaia;0.62;0;0;1;1;0
CASE-01290;Ceilândia;0.55;1;1;0;2;0
CASE-01291;Ceilândia;0.55;0;1;0;1;0
CASE-01292;Samambaia;0.62;0;0;0;0;0
CASE-01293;Plano Piloto;0.97;0;0;0;0;0
CASE-01294;Gama;0.76;1;1;1;3;1
CASE-01295;Taguatinga;0.84;1;0;0;1;0
CASE-01296;Guará;0.90;0;0;0;0;0
CASE-01297;Ceilândia;0.55;0;0;0;0;0
CASE-01298;Gama;0.76;0;0;0;0;0
CASE-01299;Samambaia;0.62;0;0;0;0;0
CASE-01300;Guará;0.90;0;0;0;0;0
CASE-01301;Samambaia;0.62;0;0;0;0;0
CASE-01302;Gama;0.76;1;0;0;1;0
CASE-01303;Sobradinho;0.70;1;0;0;1;0
CASE-01304;Águas Claras;0.94;0;0;1;1;0
CASE-01305;Sobradinho;0.70;0;1;1;2;0
CASE-01306;Águas Claras;0.94;0;1;0;1;0
CASE-01307;Plano Piloto;0.97;0;0;0;0;0
CASE-01308;Gama;0.76;0;1;1;2;1
CASE-01309;Sobradinho;0.70;0;0;0;0;0
CASE-01310;Samambaia;0.62;0;0;1;1;0
CASE-01311;Águas Claras;0.94;0;0;0;0;0
CASE-01312;Águas Claras;0.94;0;0;0;0;0
CASE-01313;Gama;0.76;0;0;0;0;0
CASE-01314;Águas Claras;0.94;0;1;0;1;0
CASE-01315;Samambaia;0.62;1;0;0;1;0
CASE-01316;Guará;0.90;0;0;0;0;0
CASE-01317;Sobradinho;0.70;0;1;0;1;0
CASE-01318;Taguatinga;0.84;0;0;0;0;0
CASE-01319;Águas Claras;0.94;1;1;1;3;1
CASE-01320;Guará;0.90;0;1;1;2;1
CASE-01321;Taguatinga;0.84;1;0;1;2;1
CASE-01322;Taguatinga;0.84;0;0;0;0;0
CASE-01323;Taguatinga;0.84;0;1;0;1;1
CASE-01324;Plano Piloto;0.97;0;1;1;2;1
CASE-01325;Sobradinho;0.70;0;0;0;0;0
CASE-01326;Plano Piloto;0.97;0;0;0;0;0
CASE-01327;Ceilândia;0.55;1;0;0;1;0
CASE-01328;Ceilândia;0.55;0;0;0;0;0
CASE-01329;Guará;0.90;0;0;0;0;0
CASE-01330;Samambaia;0.62;0;1;1;2;1
CASE-01331;Samambaia;0.62;1;0;0;1;0
CASE-01332;Plano Piloto;0.97;0;0;1;1;0
CASE-01333;Gama;0.76;0;1;0;1;0
CASE-01334;Águas Claras;0.94;1;1;1;3;1
CASE-01335;Samambaia;0.62;0;0;0;0;0
CASE-01336;Taguatinga;0.84;0;0;0;0;0
CASE-01337;Águas Claras;0.94;0;0;0;0;1
CASE-01338;Ceilândia;0.55;0;1;1;2;0
CASE-01339;Samambaia;0.62;0;0;0;0;0
CASE-01340;Águas Claras;0.94;0;0;0;0;0
CASE-01341;Samambaia;0.62;1;0;0;1;0
CASE-01342;Guará;0.90;0;1;1;2;0
CASE-01343;Ceilândia;0.55;0;0;0;0;0
CASE-01344;Plano Piloto;0.97;0;1;0;1;0
CASE-01345;Guará;0.90;0;0;0;0;0
CASE-01346;Samambaia;0.62;0;0;1;1;1
CASE-01347;Gama;0.76;1;1;1;3;0
CASE-01348;Taguatinga;0.84;0;1;0;1;0
CASE-01349;Ceilândia;0.55;1;0;1;2;1
CASE-01350;Águas Claras;0.94;0;0;1;1;0
CASE-01351;Águas Claras;0.94;0;0;0;0;0
CASE-01352;Ceilândia;0.55;0;0;0;0;0
CASE-01353;Guará;0.90;0;0;0;0;0
CASE-01354;Gama;0.76;0;1;0;1;0
CASE-01355;Samambaia;0.62;0;1;0;1;0
CASE-01356;Ceilândia;0.55;0;1;0;1;0
CASE-01357;Águas Claras;0.94;1;1;1;3;1
CASE-01358;Águas Claras;0.94;0;1;0;1;0
CASE-01359;Samambaia;0.62;0;0;0;0;0
CASE-01360;Taguatinga;0.84;0;0;0;0;0
CASE-01361;Plano Piloto;0.97;0;0;0;0;0
CASE-01362;Taguatinga;0.84;0;0;0;0;0
CASE-01363;Plano Piloto;0.97;0;0;1;1;0
CASE-01364;Taguatinga;0.84;0;0;0;0;0
CASE-01365;Plano Piloto;0.97;1;0;0;1;0
CASE-01366;Samambaia;0.62;0;0;0;0;0
CASE-01367;Taguatinga;0.84;0;1;1;2;1
CASE-01368;Ceilândia;0.55;0;1;0;1;0
CASE-01369;Ceilândia;0.55;0;1;1;2;0
CASE-01370;Samambaia;0.62;0;1;1;2;0
CASE-01371;Gama;0.76;0;0;0;0;0
CASE-01372;Sobradinho;0.70;0;0;0;0;0
CASE-01373;Guará;0.90;0;0;0;0;0
CASE-01374;Ceilândia;0.55;0;0;0;0;0
CASE-01375;Águas Claras;0.94;0;0;0;0;0
CASE-01376;Águas Claras;0.94;0;0;0;0;0
CASE-01377;Guará;0.90;0;0;0;0;0
CASE-01378;Plano Piloto;0.97;0;0;0;0;0
CASE-01379;Plano Piloto;0.97;1;0;0;1;0
CASE-01380;Águas Claras;0.94;0;1;1;2;1
CASE-01381;Gama;0.76;0;0;0;0;0
CASE-01382;Águas Claras;0.94;1;1;1;3;1
CASE-01383;Plano Piloto;0.97;0;0;0;0;0
CASE-01384;Plano Piloto;0.97;0;0;0;0;0
CASE-01385;Ceilândia;0.55;0;0;1;1;0
CASE-01386;Sobradinho;0.70;0;1;0;1;0
CASE-01387;Taguatinga;0.84;0;0;0;0;0
CASE-01388;Guará;0.90;0;0;0;0;0
CASE-01389;Águas Claras;0.94;0;1;0;1;0
CASE-01390;Guará;0.90;0;0;0;0;0
CASE-01391;Samambaia;0.62;1;1;0;2;1
CASE-01392;Ceilândia;0.55;1;1;0;2;1
CASE-01393;Ceilândia;0.55;0;0;0;0;0
CASE-01394;Sobradinho;0.70;0;0;0;0;0
CASE-01395;Gama;0.76;1;0;0;1;0
CASE-01396;Ceilândia;0.55;0;1;0;1;0
CASE-01397;Gama;0.76;0;1;0;1;0
CASE-01398;Taguatinga;0.84;0;0;0;0;0
CASE-01399;Gama;0.76;0;1;0;1;0
CASE-01400;Taguatinga;0.84;0;0;0;0;0
CASE-01401;Águas Claras;0.94;0;1;0;1;0
CASE-01402;Águas Claras;0.94;1;0;0;1;0
CASE-01403;Samambaia;0.62;0;0;0;0;0
CASE-01404;Samambaia;0.62;0;1;0;1;0
CASE-01405;Ceilândia;0.55;0;1;1;2;1
CASE-01406;Samambaia;0.62;0;1;0;1;0
CASE-01407;Plano Piloto;0.97;0;0;0;0;0
CASE-01408;Gama;0.76;1;0;0;1;0
CASE-01409;Guará;0.90;0;0;1;1;0
CASE-01410;Águas Claras;0.94;1;0;0;1;0
CASE-01411;Plano Piloto;0.97;0;0;0;0;0
CASE-01412;Guará;0.90;0;0;0;0;0
CASE-01413;Guará;0.90;0;1;0;1;0
CASE-01414;Ceilândia;0.55;0;0;0;0;0
CASE-01415;Plano Piloto;0.97;1;1;0;2;1
CASE-01416;Gama;0.76;0;1;0;1;0
CASE-01417;Águas Claras;0.94;0;0;0;0;0
CASE-01418;Ceilândia;0.55;0;0;0;0;0
CASE-01419;Plano Piloto;0.97;0;1;0;1;0
CASE-01420;Taguatinga;0.84;0;0;1;1;0
CASE-01421;Taguatinga;0.84;0;1;0;1;0
CASE-01422;Samambaia;0.62;0;1;1;2;0
CASE-01423;Águas Claras;0.94;0;0;0;0;0
CASE-01424;Águas Claras;0.94;0;1;0;1;0
CASE-01425;Samambaia;0.62;0;0;0;0;0
CASE-01426;Gama;0.76;0;1;0;1;0
CASE-01427;Águas Claras;0.94;1;1;1;3;1
CASE-01428;Samambaia;0.62;0;0;0;0;0
CASE-01429;Plano Piloto;0.97;1;1;1;3;1
CASE-01430;Taguatinga;0.84;0;1;0;1;0
CASE-01431;Águas Claras;0.94;1;0;0;1;1
CASE-01432;Plano Piloto;0.97;1;1;0;2;0
CASE-01433;Sobradinho;0.70;0;0;1;1;0
CASE-01434;Guará;0.90;1;1;0;2;0
CASE-01435;Ceilândia;0.55;1;1;0;2;1
CASE-01436;Ceilândia;0.55;0;0;0;0;0
CASE-01437;Samambaia;0.62;0;1;0;1;0
CASE-01438;Guará;0.90;0;0;0;0;0
CASE-01439;Guará;0.90;0;0;0;0;1
CASE-01440;Guará;0.90;0;0;0;0;0
CASE-01441;Samambaia;0.62;0;1;0;1;0
CASE-01442;Gama;0.76;0;0;1;1;0
CASE-01443;Gama;0.76;1;0;0;1;0
CASE-01444;Sobradinho;0.70;0;1;1;2;1
CASE-01445;Ceilândia;0.55;1;1;1;3;1
CASE-01446;Sobradinho;0.70;0;1;0;1;0
CASE-01447;Plano Piloto;0.97;1;1;1;3;1
CASE-01448;Águas Claras;0.94;0;0;0;0;0
CASE-01449;Taguatinga;0.84;0;0;0;0;0
CASE-01450;Gama;0.76;0;1;0;1;0
CASE-01451;Águas Claras;0.94;0;0;1;1;0
CASE-01452;Plano Piloto;0.97;0;0;1;1;0
CASE-01453;Águas Claras;0.94;0;0;0;0;0
CASE-01454;Plano Piloto;0.97;0;0;0;0;0
CASE-01455;Guará;0.90;0;1;0;1;0
CASE-01456;Guará;0.90;0;0;1;1;0
CASE-01457;Guará;0.90;0;0;0;0;0
CASE-01458;Taguatinga;0.84;0;1;1;2;0
CASE-01459;Sobradinho;0.70;0;0;0;0;0
CASE-01460;Gama;0.76;0;0;1;1;0
CASE-01461;Samambaia;0.62;0;0;0;0;0
CASE-01462;Samambaia;0.62;0;0;0;0;0
CASE-01463;Guará;0.90;0;0;0;0;0
CASE-01464;Taguatinga;0.84;0;1;1;2;0
CASE-01465;Taguatinga;0.84;0;0;0;0;0
CASE-01466;Águas Claras;0.94;0;0;0;0;0
CASE-01467;Sobradinho;0.70;0;0;0;0;0
CASE-01468;Plano Piloto;0.97;1;1;0;2;1
CASE-01469;Gama;0.76;0;0;0;0;0
CASE-01470;Samambaia;0.62;1;1;0;2;0
CASE-01471;Gama;0.76;0;0;0;0;0
CASE-01472;Taguatinga;0.84;0;1;0;1;0
CASE-01473;Taguatinga;0.84;0;1;1;2;0
CASE-01474;Taguatinga;0.84;0;0;1;1;1
CASE-01475;Samambaia;0.62;1;1;1;3;0
CASE-01476;Gama;0.76;0;1;0;1;0
CASE-01477;Gama;0.76;1;1;0;2;0
CASE-01478;Ceilândia;0.55;0;0;0;0;0
CASE-01479;Plano Piloto;0.97;0;1;1;2;1
CASE-01480;Sobradinho;0.70;0;0;0;0;0
CASE-01481;Taguatinga;0.84;0;0;0;0;0
CASE-01482;Sobradinho;0.70;0;0;0;0;0
CASE-01483;Plano Piloto;0.97;0;0;0;0;0
CASE-01484;Ceilândia;0.55;0;0;0;0;0
CASE-01485;Ceilândia;0.55;0;0;1;1;0
CASE-01486;Samambaia;0.62;0;1;0;1;0
CASE-01487;Plano Piloto;0.97;0;1;1;2;1
CASE-01488;Gama;0.76;0;1;0;1;0
CASE-01489;Taguatinga;0.84;0;0;0;0;0
CASE-01490;Ceilândia;0.55;0;0;1;1;0
CASE-01491;Guará;0.90;0;1;0;1;0
CASE-01492;Guará;0.90;0;0;0;0;0
CASE-01493;Taguatinga;0.84;1;1;1;3;1
CASE-01494;Guará;0.90;0;1;1;2;1
CASE-01495;Gama;0.76;0;0;0;0;0
CASE-01496;Samambaia;0.62;0;0;0;0;0
CASE-01497;Taguatinga;0.84;0;1;0;1;0
CASE-01498;Águas Claras;0.94;0;0;0;0;0
CASE-01499;Gama;0.76;0;0;0;0;0
CASE-01500;Taguatinga;0.84;0;1;0;1;0
CASE-01501;Sobradinho;0.70;0;1;0;1;0
CASE-01502;Gama;0.76;0;0;0;0;0
CASE-01503;Sobradinho;0.70;1;1;1;3;1
CASE-01504;Sobradinho;0.70;0;1;0;1;0
CASE-01505;Ceilândia;0.55;1;1;0;2;1
CASE-01506;Águas Claras;0.94;1;0;1;2;0
CASE-01507;Ceilândia;0.55;1;0;0;1;0
CASE-01508;Taguatinga;0.84;0;1;0;1;0
CASE-01509;Plano Piloto;0.97;0;1;0;1;0
CASE-01510;Sobradinho;0.70;0;0;1;1;0
CASE-01511;Sobradinho;0.70;0;1;0;1;0
CASE-01512;Plano Piloto;0.97;0;0;0;0;1
CASE-01513;Samambaia;0.62;0;0;0;0;0
CASE-01514;Samambaia;0.62;0;1;1;2;0
CASE-01515;Guará;0.90;0;0;0;0;0
CASE-01516;Samambaia;0.62;1;0;0;1;0
CASE-01517;Plano Piloto;0.97;0;1;0;1;0
CASE-01518;Gama;0.76;0;0;1;1;0
CASE-01519;Samambaia;0.62;1;1;1;3;1
CASE-01520;Guará;0.90;0;0;0;0;0
CASE-01521;Plano Piloto;0.97;1;1;0;2;1
CASE-01522;Taguatinga;0.84;0;0;0;0;0
CASE-01523;Plano Piloto;0.97;0;0;0;0;0
CASE-01524;Gama;0.76;0;0;0;0;0
CASE-01525;Samambaia;0.62;1;0;0;1;0
CASE-01526;Samambaia;0.62;0;1;0;1;1
CASE-01527;Plano Piloto;0.97;0;1;0;1;0
CASE-01528;Plano Piloto;0.97;0;0;0;0;0
CASE-01529;Águas Claras;0.94;0;0;0;0;0
CASE-01530;Plano Piloto;0.97;0;0;0;0;0
CASE-01531;Guará;0.90;1;0;0;1;0
CASE-01532;Gama;0.76;0;0;0;0;0
CASE-01533;Ceilândia;0.55;0;0;0;0;0
CASE-01534;Águas Claras;0.94;0;0;0;0;0
CASE-01535;Ceilândia;0.55;1;0;1;2;1
CASE-01536;Taguatinga;0.84;1;1;0;2;0
CASE-01537;Samambaia;0.62;0;1;0;1;0
CASE-01538;Plano Piloto;0.97;0;0;0;0;0
CASE-01539;Sobradinho;0.70;0;1;0;1;0
CASE-01540;Guará;0.90;0;1;0;1;0
CASE-01541;Plano Piloto;0.97;0;0;1;1;0
CASE-01542;Ceilândia;0.55;0;0;0;0;0
CASE-01543;Taguatinga;0.84;1;1;1;3;1
CASE-01544;Águas Claras;0.94;1;0;1;2;1
CASE-01545;Taguatinga;0.84;0;0;0;0;0
CASE-01546;Taguatinga;0.84;0;0;0;0;0
CASE-01547;Plano Piloto;0.97;0;0;0;0;0
CASE-01548;Plano Piloto;0.97;0;0;0;0;0
CASE-01549;Sobradinho;0.70;1;0;0;1;0
CASE-01550;Águas Claras;0.94;0;0;0;0;0
CASE-01551;Samambaia;0.62;0;0;0;0;0
CASE-01552;Guará;0.90;0;0;0;0;0
CASE-01553;Gama;0.76;0;0;0;0;0
CASE-01554;Samambaia;0.62;0;0;0;0;0
CASE-01555;Guará;0.90;0;0;1;1;1
CASE-01556;Sobradinho;0.70;0;1;1;2;0
CASE-01557;Plano Piloto;0.97;1;0;0;1;0
CASE-01558;Ceilândia;0.55;0;1;0;1;0
CASE-01559;Ceilândia;0.55;1;0;0;1;0
CASE-01560;Águas Claras;0.94;0;0;0;0;0
CASE-01561;Gama;0.76;0;1;1;2;0
CASE-01562;Sobradinho;0.70;0;0;0;0;0
CASE-01563;Taguatinga;0.84;0;0;0;0;0
CASE-01564;Ceilândia;0.55;1;1;1;3;1
CASE-01565;Guará;0.90;0;1;0;1;0
CASE-01566;Samambaia;0.62;0;0;0;0;0
CASE-01567;Taguatinga;0.84;0;0;0;0;0
CASE-01568;Guará;0.90;0;0;1;1;0
CASE-01569;Sobradinho;0.70;0;0;0;0;0
CASE-01570;Taguatinga;0.84;1;0;0;1;0
CASE-01571;Ceilândia;0.55;0;1;0;1;0
CASE-01572;Guará;0.90;0;1;0;1;0
CASE-01573;Sobradinho;0.70;0;0;1;1;0
CASE-01574;Samambaia;0.62;0;1;0;1;0
CASE-01575;Guará;0.90;0;0;0;0;0
CASE-01576;Águas Claras;0.94;1;1;1;3;1
CASE-01577;Ceilândia;0.55;0;0;0;0;0
CASE-01578;Sobradinho;0.70;0;0;0;0;0
CASE-01579;Plano Piloto;0.97;1;1;0;2;1
CASE-01580;Sobradinho;0.70;1;1;1;3;1
CASE-01581;Guará;0.90;0;1;0;1;0
CASE-01582;Gama;0.76;0;0;0;0;0
CASE-01583;Guará;0.90;1;0;1;2;0
CASE-01584;Sobradinho;0.70;0;0;1;1;0
CASE-01585;Ceilândia;0.55;0;0;0;0;0
CASE-01586;Gama;0.76;0;0;1;1;0
CASE-01587;Águas Claras;0.94;0;1;0;1;0
CASE-01588;Ceilândia;0.55;0;0;1;1;0
CASE-01589;Águas Claras;0.94;0;0;0;0;0
CASE-01590;Guará;0.90;0;0;0;0;0
CASE-01591;Águas Claras;0.94;0;0;0;0;0
CASE-01592;Gama;0.76;0;0;0;0;0
CASE-01593;Ceilândia;0.55;0;0;0;0;0
CASE-01594;Sobradinho;0.70;0;0;0;0;0
CASE-01595;Ceilândia;0.55;0;1;0;1;0
CASE-01596;Samambaia;0.62;0;1;0;1;1
CASE-01597;Taguatinga;0.84;0;0;0;0;0
CASE-01598;Águas Claras;0.94;0;0;0;0;0
CASE-01599;Águas Claras;0.94;0;0;0;0;0
CASE-01600;Gama;0.76;0;0;0;0;0
CASE-01601;Guará;0.90;0;0;0;0;0
CASE-01602;Samambaia;0.62;0;0;0;0;0
CASE-01603;Ceilândia;0.55;0;0;0;0;0
CASE-01604;Plano Piloto;0.97;0;0;0;0;0
CASE-01605;Águas Claras;0.94;0;0;0;0;0
CASE-01606;Plano Piloto;0.97;0;0;0;0;0
CASE-01607;Guará;0.90;1;1;1;3;1
CASE-01608;Sobradinho;0.70;0;0;0;0;0
CASE-01609;Águas Claras;0.94;1;0;1;2;0
CASE-01610;Plano Piloto;0.97;1;0;1;2;0
CASE-01611;Águas Claras;0.94;0;1;1;2;1
CASE-01612;Plano Piloto;0.97;0;0;0;0;0
CASE-01613;Sobradinho;0.70;1;1;1;3;0
CASE-01614;Samambaia;0.62;1;0;0;1;1
CASE-01615;Ceilândia;0.55;0;0;0;0;0
CASE-01616;Sobradinho;0.70;1;0;0;1;0
CASE-01617;Sobradinho;0.70;0;0;0;0;0
CASE-01618;Sobradinho;0.70;0;1;1;2;1
CASE-01619;Taguatinga;0.84;0;0;0;0;1
CASE-01620;Samambaia;0.62;1;1;1;3;0
CASE-01621;Guará;0.90;1;0;0;1;0
CASE-01622;Plano Piloto;0.97;0;1;1;2;0
CASE-01623;Ceilândia;0.55;0;0;0;0;0
CASE-01624;Plano Piloto;0.97;1;0;1;2;0
CASE-01625;Guará;0.90;0;0;0;0;0
CASE-01626;Plano Piloto;0.97;1;1;1;3;1
CASE-01627;Sobradinho;0.70;0;0;1;1;1
CASE-01628;Águas Claras;0.94;1;1;1;3;1
CASE-01629;Ceilândia;0.55;0;0;0;0;0
CASE-01630;Ceilândia;0.55;0;0;0;0;0
CASE-01631;Ceilândia;0.55;0;1;1;2;0
CASE-01632;Sobradinho;0.70;0;0;0;0;0
CASE-01633;Sobradinho;0.70;0;1;0;1;0
CASE-01634;Gama;0.76;0;1;1;2;1
CASE-01635;Guará;0.90;0;1;1;2;1
CASE-01636;Guará;0.90;0;0;0;0;0
CASE-01637;Taguatinga;0.84;0;0;0;0;0
CASE-01638;Sobradinho;0.70;0;0;0;0;0
CASE-01639;Águas Claras;0.94;1;0;0;1;0
CASE-01640;Sobradinho;0.70;1;1;0;2;1
CASE-01641;Gama;0.76;0;0;0;0;0
CASE-01642;Gama;0.76;0;0;0;0;0
CASE-01643;Sobradinho;0.70;0;0;1;1;0
CASE-01644;Guará;0.90;1;0;0;1;0
CASE-01645;Taguatinga;0.84;1;1;0;2;1
CASE-01646;Sobradinho;0.70;0;0;0;0;0
CASE-01647;Plano Piloto;0.97;1;0;0;1;1
CASE-01648;Plano Piloto;0.97;0;0;0;0;0
CASE-01649;Gama;0.76;1;0;1;2;0
CASE-01650;Plano Piloto;0.97;1;0;0;1;0
CASE-01651;Ceilândia;0.55;0;0;0;0;0
CASE-01652;Plano Piloto;0.97;0;1;0;1;0
CASE-01653;Águas Claras;0.94;1;1;1;3;0
CASE-01654;Águas Claras;0.94;0;0;0;0;0
CASE-01655;Sobradinho;0.70;0;0;1;1;0
CASE-01656;Guará;0.90;0;1;0;1;0
CASE-01657;Guará;0.90;0;0;0;0;0
CASE-01658;Plano Piloto;0.97;1;0;0;1;0
CASE-01659;Taguatinga;0.84;0;1;0;1;0
CASE-01660;Samambaia;0.62;0;0;1;1;0
CASE-01661;Ceilândia;0.55;0;1;0;1;0
CASE-01662;Samambaia;0.62;1;0;0;1;0
CASE-01663;Taguatinga;0.84;0;0;0;0;0
CASE-01664;Samambaia;0.62;0;1;0;1;0
CASE-01665;Samambaia;0.62;0;0;0;0;0
CASE-01666;Guará;0.90;0;0;1;1;1
CASE-01667;Águas Claras;0.94;0;1;0;1;0
CASE-01668;Ceilândia;0.55;1;0;1;2;0
CASE-01669;Águas Claras;0.94;0;0;0;0;0
CASE-01670;Ceilândia;0.55;0;0;0;0;0
CASE-01671;Águas Claras;0.94;0;1;1;2;1
CASE-01672;Guará;0.90;0;0;0;0;0
CASE-01673;Gama;0.76;0;1;0;1;0
CASE-01674;Samambaia;0.62;1;1;0;2;0
CASE-01675;Taguatinga;0.84;0;0;1;1;0
CASE-01676;Sobradinho;0.70;0;1;0;1;0
CASE-01677;Ceilândia;0.55;0;1;0;1;0
CASE-01678;Sobradinho;0.70;0;0;1;1;1
CASE-01679;Taguatinga;0.84;0;1;1;2;1
CASE-01680;Taguatinga;0.84;0;1;0;1;0
CASE-01681;Samambaia;0.62;0;0;0;0;0
CASE-01682;Gama;0.76;0;0;1;1;0
CASE-01683;Taguatinga;0.84;0;0;0;0;0
CASE-01684;Águas Claras;0.94;0;0;0;0;0
CASE-01685;Plano Piloto;0.97;0;0;0;0;0
CASE-01686;Águas Claras;0.94;1;1;1;3;1
CASE-01687;Sobradinho;0.70;1;0;1;2;0
CASE-01688;Guará;0.90;0;1;0;1;0
CASE-01689;Ceilândia;0.55;0;1;0;1;0
CASE-01690;Taguatinga;0.84;1;1;0;2;1
CASE-01691;Plano Piloto;0.97;1;1;0;2;1
CASE-01692;Plano Piloto;0.97;0;0;0;0;0
CASE-01693;Guará;0.90;1;0;0;1;1
CASE-01694;Taguatinga;0.84;1;1;1;3;1
CASE-01695;Taguatinga;0.84;0;0;0;0;0
CASE-01696;Sobradinho;0.70;0;1;0;1;0
CASE-01697;Samambaia;0.62;0;0;0;0;0
CASE-01698;Gama;0.76;1;1;0;2;0
CASE-01699;Gama;0.76;1;0;0;1;0
CASE-01700;Sobradinho;0.70;0;1;0;1;0
CASE-01701;Sobradinho;0.70;1;0;1;2;1
CASE-01702;Sobradinho;0.70;0;0;0;0;0
CASE-01703;Ceilândia;0.55;0;0;0;0;0
CASE-01704;Águas Claras;0.94;1;0;0;1;0
CASE-01705;Águas Claras;0.94;1;0;0;1;0
CASE-01706;Ceilândia;0.55;0;1;0;1;0
CASE-01707;Plano Piloto;0.97;1;1;1;3;1
CASE-01708;Taguatinga;0.84;0;1;1;2;0
CASE-01709;Ceilândia;0.55;0;0;0;0;0
CASE-01710;Taguatinga;0.84;0;0;0;0;0
CASE-01711;Plano Piloto;0.97;0;0;0;0;0
CASE-01712;Plano Piloto;0.97;0;0;0;0;0
CASE-01713;Gama;0.76;1;1;1;3;1
CASE-01714;Ceilândia;0.55;0;0;0;0;0
CASE-01715;Samambaia;0.62;0;0;1;1;0
CASE-01716;Águas Claras;0.94;0;0;0;0;0
CASE-01717;Samambaia;0.62;0;1;0;1;0
CASE-01718;Samambaia;0.62;0;0;0;0;0
CASE-01719;Guará;0.90;0;0;0;0;0
CASE-01720;Plano Piloto;0.97;0;1;0;1;0
CASE-01721;Samambaia;0.62;0;0;0;0;0
CASE-01722;Águas Claras;0.94;1;0;1;2;1
CASE-01723;Taguatinga;0.84;1;0;0;1;0
CASE-01724;Taguatinga;0.84;0;1;0;1;0
CASE-01725;Ceilândia;0.55;0;0;0;0;0
CASE-01726;Samambaia;0.62;1;0;0;1;0
CASE-01727;Taguatinga;0.84;0;1;0;1;0
CASE-01728;Samambaia;0.62;0;0;0;0;0
CASE-01729;Taguatinga;0.84;0;1;1;2;0
CASE-01730;Ceilândia;0.55;1;1;0;2;1
CASE-01731;Ceilândia;0.55;0;0;1;1;0
CASE-01732;Sobradinho;0.70;0;0;1;1;0
CASE-01733;Plano Piloto;0.97;1;1;0;2;1
CASE-01734;Guará;0.90;0;0;0;0;0
CASE-01735;Ceilândia;0.55;0;0;1;1;0
CASE-01736;Águas Claras;0.94;0;0;0;0;0
CASE-01737;Gama;0.76;0;0;0;0;0
CASE-01738;Samambaia;0.62;0;0;1;1;0
CASE-01739;Plano Piloto;0.97;0;0;0;0;0
CASE-01740;Gama;0.76;1;0;0;1;1
