case_id;cnpj_sintetico;razao_social_sintetica;regiao_administrativa;endereco_declarado;endereco_referencia;status_declarado;status_referencia;valor_declarado;valor_referencia;tipo_cenario;evidencia_status;evidencia_endereco;evidencia_valor;severidade;ground_truth_inconsistencia
CASE-0107;SYN-CNPJ-000107;Empresa Sintética 0107;Águas Claras;Setor Sintético F, Q18, L028, Águas Claras, DF;Setor Sintético F, Q18, L028, Águas Claras, DF;BAIXADA;BAIXADA;8226.16;5875.83;valor;0;0;1;media;1
CASE-0108;SYN-CNPJ-000108;Empresa Sintética 0108;Gama;Setor Sintético A, Q19, L029, Gama, DF;Setor Sintético A, Q19, L029, Gama, DF;BAIXADA;ATIVA;16887.4;16887.4;cadastral;1;0;0;media;1
CASE-0109;SYN-CNPJ-000109;Empresa Sintética 0109;Ceilândia;Setor Sintético B, Q20, L030, Ceilândia, DF;Setor Sintético B, Q20, L030, Ceilândia, DF;BAIXADA;BAIXADA;14968.7;23028.77;valor;0;0;1;media;1
CASE-0110;SYN-CNPJ-000110;Empresa Sintética 0110;Plano Piloto;Setor Sintético Divergente, Q11, L041, Plano Piloto, DF;Setor Sintético C, Q21, L031, Plano Piloto, DF;BAIXADA;ATIVA;9748.42;16247.37;multiplas;1;1;1;alta;1
CASE-0111;SYN-CNPJ-000111;Empresa Sintética 0111;Ceilândia;Setor Sintético Divergente, Q12, L042, Ceilândia, DF;Setor Sintético D, Q22, L032, Ceilândia, DF;BAIXADA;ATIVA;9967.05;6873.83;multiplas;1;1;1;alta;1
CASE-0112;SYN-CNPJ-000112;Empresa Sintética 0112;Samambaia;Setor Sintético E, Q23, L033, Samambaia, DF;Setor Sintético E, Q23, L033, Samambaia, DF;ATIVA;ATIVA;19150.13;19150.13;consistente;0;0;0;nenhuma;0
CASE-0113;SYN-CNPJ-000113;Empresa Sintética 0113;Gama;Setor Sintético F, Q24, L034, Gama, DF;Setor Sintético F, Q24, L034, Gama, DF;ATIVA;ATIVA;20955.32;20955.32;consistente;0;0;0;nenhuma;0
CASE-0114;SYN-CNPJ-000114;Empresa Sintética 0114;Plano Piloto;Setor Sintético A, Q25, L035, Plano Piloto, DF;Setor Sintético A, Q25, L035, Plano Piloto, DF;BAIXADA;ATIVA;5993.44;5993.44;cadastral;1;0;0;media;1
CASE-0115;SYN-CNPJ-000115;Empresa Sintética 0115;Plano Piloto;Setor Sintético B, Q26, L036, Plano Piloto, DF;Setor Sintético B, Q26, L036, Plano Piloto, DF;ATIVA;ATIVA;23765.49;23765.49;consistente;0;0;0;nenhuma;0
CASE-0116;SYN-CNPJ-000116;Empresa Sintética 0116;Plano Piloto;Setor Sintético C, Q27, L037, Plano Piloto, DF;Setor Sintético C, Q27, L037, Plano Piloto, DF;ATIVA;ATIVA;6344.35;6344.35;consistente;0;0;0;nenhuma;0
CASE-0117;SYN-CNPJ-000117;Empresa Sintética 0117;Taguatinga;Setor Sintético D, Q28, L038, Taguatinga, DF;Setor Sintético D, Q28, L038, Taguatinga, DF;BAIXADA;ATIVA;11893.33;11893.33;cadastral;1;0;0;media;1
CASE-0118;SYN-CNPJ-000118;Empresa Sintética 0118;Samambaia;Setor Sintético E, Q29, L039, Samambaia, DF;Setor Sintético E, Q29, L039, Samambaia, DF;ATIVA;ATIVA;15344.37;15344.37;consistente;0;0;0;nenhuma;0
CASE-0119;SYN-CNPJ-000119;Empresa Sintética 0119;Taguatinga;Set. Sintético F, Q30, L040, Taguatinga, DF;Setor Sintético F, Q30, L040, Taguatinga, DF;ATIVA;ATIVA;24133.76;24135.66;ambiguo;0;0;0;baixa;0
CASE-0120;SYN-CNPJ-000120;Empresa Sintética 0120;Gama;Setor Sintético A, Q01, L041, Gama, DF;Setor Sintético A, Q01, L041, Gama, DF;BAIXADA;BAIXADA;23566.03;23566.03;consistente;0;0;0;nenhuma;0
CASE-0121;SYN-CNPJ-000121;Empresa Sintética 0121;Águas Claras;Setor Sintético B, Q02, L042, Águas Claras, DF;Setor Sintético B, Q02, L042, Águas Claras, DF;ATIVA;ATIVA;17581.23;17581.23;consistente;0;0;0;nenhuma;0
CASE-0122;SYN-CNPJ-000122;Empresa Sintética 0122;Taguatinga;Setor Sintético C, Q03, L043, Taguatinga, DF;Setor Sintético C, Q03, L043, Taguatinga, DF;ATIVA;ATIVA;9006.49;9006.49;consistente;0;0;0;nenhuma;0
CASE-0123;SYN-CNPJ-000123;Empresa Sintética 0123;Samambaia;Setor Sintético D, Q04, L044, Samambaia, DF;Setor Sintético D, Q04, L044, Samambaia, DF;BAIXADA;ATIVA;12896.04;12896.04;cadastral;1;0;0;media;1
CASE-0124;SYN-CNPJ-000124;Empresa Sintética 0124;Gama;Setor Sintético E, Q05, L045, Gama, DF;Setor Sintético E, Q05, L045, Gama, DF;BAIXADA;BAIXADA;3085.7;3085.7;consistente;0;0;0;nenhuma;0
CASE-0125;SYN-CNPJ-000125;Empresa Sintética 0125;Sobradinho;Setor Sintético F, Q06, L046, Sobradinho, DF;Setor Sintético F, Q06, L046, Sobradinho, DF;ATIVA;ATIVA;11171.3;11169.44;ambiguo;0;0;0;baixa;0
CASE-0126;SYN-CNPJ-000126;Empresa Sintética 0126;Sobradinho;Setor Sintético A, Q07, L047, Sobradinho, DF;Setor Sintético A, Q07, L047, Sobradinho, DF;BAIXADA;BAIXADA;11171.58;11171.58;consistente;0;0;0;nenhuma;0
CASE-0127;SYN-CNPJ-000127;Empresa Sintética 0127;Guará;Setor Sintético B, Q08, L048, Guará, DF;Setor Sintético B, Q08, L048, Guará, DF;ATIVA;ATIVA;13888.53;21366.97;valor;0;0;1;media;1
CASE-0128;SYN-CNPJ-000128;Empresa Sintética 0128;Sobradinho;Setor Sintético C, Q09, L049, Sobradinho, DF;Setor Sintético C, Q09, L049, Sobradinho, DF;ATIVA;ATIVA;18886.67;18886.67;consistente;0;0;0;nenhuma;0
CASE-0129;SYN-CNPJ-000129;Empresa Sintética 0129;Gama;Setor Sintético Divergente, Q05, L060, Gama, DF;Setor Sintético D, Q10, L050, Gama, DF;ATIVA;ATIVA;1203.15;1203.15;territorial;0;1;0;media;1
CASE-0130;SYN-CNPJ-000130;Empresa Sintética 0130;Ceilândia;Setor Sintético Divergente, Q06, L061, Ceilândia, DF;Setor Sintético E, Q11, L051, Ceilândia, DF;ATIVA;BAIXADA;8260.56;5696.94;multiplas;1;1;1;alta;1
CASE-0131;SYN-CNPJ-000131;Empresa Sintética 0131;Guará;Setor Sintético F, Q12, L052, Guará, DF;Setor Sintético F, Q12, L052, Guará, DF;ATIVA;ATIVA;13157.37;13157.37;consistente;0;0;0;nenhuma;0
CASE-0132;SYN-CNPJ-000132;Empresa Sintética 0132;Águas Claras;Setor Sintético A, Q13, L053, Águas Claras, DF;Setor Sintético A, Q13, L053, Águas Claras, DF;BAIXADA;BAIXADA;12470.16;12470.16;consistente;0;0;0;nenhuma;0
CASE-0133;SYN-CNPJ-000133;Empresa Sintética 0133;Sobradinho;Setor Sintético B, Q14, L054, Sobradinho, DF;Setor Sintético B, Q14, L054, Sobradinho, DF;BAIXADA;BAIXADA;7462.18;11480.28;valor;0;0;1;media;1
CASE-0134;SYN-CNPJ-000134;Empresa Sintética 0134;Águas Claras;Setor Sintético C, Q15, L055, Águas Claras, DF;Setor Sintético C, Q15, L055, Águas Claras, DF;BAIXADA;BAIXADA;17448.79;17448.79;consistente;0;0;0;nenhuma;0
CASE-0135;SYN-CNPJ-000135;Empresa Sintética 0135;Samambaia;Setor Sintético D, Q16, L056, Samambaia, DF;Setor Sintético D, Q16, L056, Samambaia, DF;BAIXADA;BAIXADA;14060.09;14060.09;consistente;0;0;0;nenhuma;0
CASE-0136;SYN-CNPJ-000136;Empresa Sintética 0136;Samambaia;Setor Sintético E, Q17, L057, Samambaia, DF;Setor Sintético E, Q17, L057, Samambaia, DF;ATIVA;ATIVA;17719.95;17719.95;consistente;0;0;0;nenhuma;0
CASE-0137;SYN-CNPJ-000137;Empresa Sintética 0137;Guará;Setor Sintético F, Q18, L058, Guará, DF;Setor Sintético F, Q18, L058, Guará, DF;ATIVA;ATIVA;3456.07;3456.07;consistente;0;0;0;nenhuma;0
CASE-0138;SYN-CNPJ-000138;Empresa Sintética 0138;Taguatinga;Setor Sintético A, Q19, L059, Taguatinga, DF;Setor Sintético A, Q19, L059, Taguatinga, DF;ATIVA;ATIVA;5192.75;5192.75;consistente;0;0;0;nenhuma;0
CASE-0139;SYN-CNPJ-000139;Empresa Sintética 0139;Guará;Setor Sintético B, Q20, L060, Guará, DF;Setor Sintético B, Q20, L060, Guará, DF;ATIVA;ATIVA;18391.88;24522.51;valor;0;0;1;media;1
CASE-0140;SYN-CNPJ-000140;Empresa Sintética 0140;Samambaia;Setor Sintético C, Q21, L061, Samambaia, DF;Setor Sintético C, Q21, L061, Samambaia, DF;ATIVA;ATIVA;7905.56;7905.56;consistente;0;0;0;nenhuma;0
CASE-0141;SYN-CNPJ-000141;Empresa Sintética 0141;Ceilândia;Setor Sintético D, Q22, L062, Ceilândia, DF;Setor Sintético D, Q22, L062, Ceilândia, DF;ATIVA;ATIVA;1049.83;1615.13;valor;0;0;1;media;1
CASE-0142;SYN-CNPJ-000142;Empresa Sintética 0142;Ceilândia;Setor Sintético Divergente, Q18, L003, Ceilândia, DF;Setor Sintético E, Q23, L063, Ceilândia, DF;BAIXADA;BAIXADA;3013.4;3013.4;territorial;0;1;0;media;1
CASE-0143;SYN-CNPJ-000143;Empresa Sintética 0143;Guará;Setor Sintético F, Q24, L064, Guará, DF;Setor Sintético F, Q24, L064, Guará, DF;BAIXADA;BAIXADA;12228.5;12228.5;consistente;0;0;0;nenhuma;0
CASE-0144;SYN-CNPJ-000144;Empresa Sintética 0144;Plano Piloto;Setor Sintético A, Q25, L065, Plano Piloto, DF;Setor Sintético A, Q25, L065, Plano Piloto, DF;ATIVA;ATIVA;23556.06;23556.06;consistente;0;0;0;nenhuma;0
CASE-0145;SYN-CNPJ-000145;Empresa Sintética 0145;Taguatinga;Setor Sintético B, Q26, L066, Taguatinga, DF;Setor Sintético B, Q26, L066, Taguatinga, DF;ATIVA;BAIXADA;12547.79;12547.79;cadastral;1;0;0;media;1
CASE-0146;SYN-CNPJ-000146;Empresa Sintética 0146;Plano Piloto;Setor Sintético Divergente, Q22, L007, Plano Piloto, DF;Setor Sintético C, Q27, L067, Plano Piloto, DF;ATIVA;ATIVA;4155.34;4155.34;territorial;0;1;0;media;1
CASE-0147;SYN-CNPJ-000147;Empresa Sintética 0147;Guará;Setor Sintético Divergente, Q23, L008, Guará, DF;Setor Sintético D, Q28, L068, Guará, DF;ATIVA;ATIVA;24850.99;24850.99;territorial;0;1;0;media;1
CASE-0148;SYN-CNPJ-000148;Empresa Sintética 0148;Gama;Setor Sintético E, Q29, L069, Gama, DF;Setor Sintético E, Q29, L069, Gama, DF;ATIVA;ATIVA;19504.49;19504.49;consistente;0;0;0;nenhuma;0
CASE-0149;SYN-CNPJ-000149;Empresa Sintética 0149;Sobradinho;Setor Sintético F, Q30, L070, Sobradinho, DF;Setor Sintético F, Q30, L070, Sobradinho, DF;ATIVA;ATIVA;21574.08;21574.08;consistente;0;0;0;nenhuma;0
CASE-0150;SYN-CNPJ-000150;Empresa Sintética 0150;Guará;Setor Sintético A, Q01, L071, Guará, DF;Setor Sintético A, Q01, L071, Guará, DF;ATIVA;ATIVA;15437.75;15435.96;ambiguo;0;0;0;baixa;0
CASE-0151;SYN-CNPJ-000151;Empresa Sintética 0151;Águas Claras;Setor Sintético B, Q02, L072, Águas Claras, DF;Setor Sintético B, Q02, L072, Águas Claras, DF;ATIVA;ATIVA;16680.49;16680.49;consistente;0;0;0;nenhuma;0
CASE-0152;SYN-CNPJ-000152;Empresa Sintética 0152;Ceilândia;Setor Sintético C, Q03, L073, Ceilândia, DF;Setor Sintético C, Q03, L073, Ceilândia, DF;ATIVA;ATIVA;4335.05;4335.05;consistente;0;0;0;nenhuma;0
CASE-0153;SYN-CNPJ-000153;Empresa Sintética 0153;Sobradinho;Setor Sintético D, Q04, L074, Sobradinho, DF;Setor Sintético D, Q04, L074, Sobradinho, DF;BAIXADA;ATIVA;1299.68;1299.68;cadastral;1;0;0;media;1
CASE-0154;SYN-CNPJ-000154;Empresa Sintética 0154;Guará;Setor Sintético E, Q05, L075, Guará, DF;Setor Sintético E, Q05, L075, Guará, DF;BAIXADA;BAIXADA;2243.9;2243.9;consistente;0;0;0;nenhuma;0
CASE-0155;SYN-CNPJ-000155;Empresa Sintética 0155;Guará;Setor Sintético F, Q06, L076, Guará, DF;Setor Sintético F, Q06, L076, Guará, DF;ATIVA;ATIVA;10915.9;10915.9;consistente;0;0;0;nenhuma;0
CASE-0156;SYN-CNPJ-000156;Empresa Sintética 0156;Ceilândia;Setor Sintético A, Q07, L077, Ceilândia, DF;Setor Sintético A, Q07, L077, Ceilândia, DF;BAIXADA;ATIVA;20752.46;20752.46;cadastral;1;0;0;media;1
CASE-0157;SYN-CNPJ-000157;Empresa Sintética 0157;Ceilândia;Setor Sintético B, Q08, L078, Ceilândia, DF;Setor Sintético B, Q08, L078, Ceilândia, DF;ATIVA;ATIVA;15078.58;15078.58;consistente;0;0;0;nenhuma;0
CASE-0158;SYN-CNPJ-000158;Empresa Sintética 0158;Guará;Setor Sintético Divergente, Q09, L019, Guará, DF;Setor Sintético C, Q09, L079, Guará, DF;ATIVA;BAIXADA;5142.66;3546.66;multiplas;1;1;1;alta;1
CASE-0159;SYN-CNPJ-000159;Empresa Sintética 0159;Guará;Setor Sintético Divergente, Q10, L020, Guará, DF;Setor Sintético D, Q10, L080, Guará, DF;BAIXADA;BAIXADA;11225.09;11225.09;territorial;0;1;0;media;1
CASE-0160;SYN-CNPJ-000160;Empresa Sintética 0160;Gama;Setor Sintético Divergente, Q11, L021, Gama, DF;Setor Sintético E, Q11, L001, Gama, DF;ATIVA;ATIVA;15290.98;15290.98;territorial;0;1;0;media;1
CASE-0161;SYN-CNPJ-000161;Empresa Sintética 0161;Águas Claras;Setor Sintético F, Q12, L002, Águas Claras, DF;Setor Sintético F, Q12, L002, Águas Claras, DF;ATIVA;ATIVA;24989.52;24989.52;consistente;0;0;0;nenhuma;0
CASE-0162;SYN-CNPJ-000162;Empresa Sintética 0162;Guará;Setor Sintético Divergente, Q13, L023, Guará, DF;Setor Sintético A, Q13, L003, Guará, DF;ATIVA;ATIVA;19196.17;19196.17;territorial;0;1;0;media;1
CASE-0163;SYN-CNPJ-000163;Empresa Sintética 0163;Sobradinho;Setor Sintético B, Q14, L004, Sobradinho, DF;Setor Sintético B, Q14, L004, Sobradinho, DF;ATIVA;ATIVA;4946.48;4946.48;consistente;0;0;0;nenhuma;0
CASE-0164;SYN-CNPJ-000164;Empresa Sintética 0164;Sobradinho;Setor Sintético Divergente, Q15, L025, Sobradinho, DF;Setor Sintético C, Q15, L005, Sobradinho, DF;ATIVA;ATIVA;12015.25;12015.25;territorial;0;1;0;media;1
CASE-0165;SYN-CNPJ-000165;Empresa Sintética 0165;Samambaia;Setor Sintético D, Q16, L006, Samambaia, DF;Setor Sintético D, Q16, L006, Samambaia, DF;BAIXADA;ATIVA;21514.46;21514.46;cadastral;1;0;0;media;1
CASE-0166;SYN-CNPJ-000166;Empresa Sintética 0166;Sobradinho;Setor Sintético E, Q17, L007, Sobradinho, DF;Setor Sintético E, Q17, L007, Sobradinho, DF;ATIVA;ATIVA;16733.3;16733.3;consistente;0;0;0;nenhuma;0
CASE-0167;SYN-CNPJ-000167;Empresa Sintética 0167;Plano Piloto;Setor Sintético F, Q18, L008, Plano Piloto, DF;Setor Sintético F, Q18, L008, Plano Piloto, DF;ATIVA;BAIXADA;2657.46;2657.46;cadastral;1;0;0;media;1
CASE-0168;SYN-CNPJ-000168;Empresa Sintética 0168;Taguatinga;Setor Sintético A, Q19, L009, Taguatinga, DF;Setor Sintético A, Q19, L009, Taguatinga, DF;BAIXADA;BAIXADA;21690.31;21690.31;consistente;0;0;0;nenhuma;0
CASE-0169;SYN-CNPJ-000169;Empresa Sintética 0169;Plano Piloto;Setor Sintético Divergente, Q20, L030, Plano Piloto, DF;Setor Sintético B, Q20, L010, Plano Piloto, DF;ATIVA;BAIXADA;6374.74;10624.57;multiplas;1;1;1;alta;1
CASE-0170;SYN-CNPJ-000170;Empresa Sintética 0170;Sobradinho;Setor Sintético C, Q21, L011, Sobradinho, DF;Setor Sintético C, Q21, L011, Sobradinho, DF;ATIVA;BAIXADA;19119.77;19119.77;cadastral;1;0;0;media;1
CASE-0171;SYN-CNPJ-000171;Empresa Sintética 0171;Ceilândia;Setor Sintético D, Q22, L012, Ceilândia, DF;Setor Sintético D, Q22, L012, Ceilândia, DF;ATIVA;ATIVA;11233.84;11233.84;consistente;0;0;0;nenhuma;0
CASE-0172;SYN-CNPJ-000172;Empresa Sintética 0172;Taguatinga;Setor Sintético Divergente, Q23, L033, Taguatinga, DF;Setor Sintético E, Q23, L013, Taguatinga, DF;ATIVA;ATIVA;24342.1;24342.1;territorial;0;1;0;media;1
CASE-0173;SYN-CNPJ-000173;Empresa Sintética 0173;Águas Claras;Setor Sintético Divergente, Q24, L034, Águas Claras, DF;Setor Sintético F, Q24, L014, Águas Claras, DF;ATIVA;ATIVA;8113.38;8113.38;territorial;0;1;0;media;1
CASE-0174;SYN-CNPJ-000174;Empresa Sintética 0174;Gama;Setor Sintético A, Q25, L015, Gama, DF;Setor Sintético A, Q25, L015, Gama, DF;ATIVA;ATIVA;6005.17;6005.17;consistente;0;0;0;nenhuma;0
CASE-0175;SYN-CNPJ-000175;Empresa Sintética 0175;Taguatinga;Setor Sintético Divergente, Q01, L036, Taguatinga, DF;Setor Sintético B, Q26, L016, Taguatinga, DF;ATIVA;BAIXADA;14221.79;23702.99;multiplas;1;1;1;alta;1
CASE-0176;SYN-CNPJ-000176;Empresa Sintética 0176;Guará;Setor Sintético C, Q27, L017, Guará, DF;Setor Sintético C, Q27, L017, Guará, DF;BAIXADA;ATIVA;10679.51;10679.51;cadastral;1;0;0;media;1
CASE-0177;SYN-CNPJ-000177;Empresa Sintética 0177;Sobradinho;Setor Sintético D, Q28, L018, Sobradinho, DF;Setor Sintético D, Q28, L018, Sobradinho, DF;BAIXADA;ATIVA;11691.27;11691.27;cadastral;1;0;0;media;1
CASE-0178;SYN-CNPJ-000178;Empresa Sintética 0178;Águas Claras;Setor Sintético E, Q29, L019, Águas Claras, DF;Setor Sintético E, Q29, L019, Águas Claras, DF;ATIVA;ATIVA;21668.66;21668.66;consistente;0;0;0;nenhuma;0
CASE-0179;SYN-CNPJ-000179;Empresa Sintética 0179;Gama;Setor Sintético F, Q30, L020, Gama, DF;Setor Sintético F, Q30, L020, Gama, DF;ATIVA;ATIVA;23389.09;23389.09;consistente;0;0;0;nenhuma;0
CASE-0180;SYN-CNPJ-000180;Empresa Sintética 0180;Plano Piloto;Setor Sintético A, Q01, L021, Plano Piloto, DF;Setor Sintético A, Q01, L021, Plano Piloto, DF;BAIXADA;ATIVA;18288.25;18288.25;cadastral;1;0;0;media;1
CASE-0181;SYN-CNPJ-000181;Empresa Sintética 0181;Sobradinho;Setor Sintético Divergente, Q07, L042, Sobradinho, DF;Setor Sintético B, Q02, L022, Sobradinho, DF;BAIXADA;ATIVA;16588.59;11440.41;multiplas;1;1;1;alta;1
CASE-0182;SYN-CNPJ-000182;Empresa Sintética 0182;Gama;Setor Sintético C, Q03, L023, Gama, DF;Setor Sintético C, Q03, L023, Gama, DF;BAIXADA;BAIXADA;23354.88;23354.88;consistente;0;0;0;nenhuma;0
CASE-0183;SYN-CNPJ-000183;Empresa Sintética 0183;Águas Claras;Setor Sintético Divergente, Q09, L044, Águas Claras, DF;Setor Sintético D, Q04, L024, Águas Claras, DF;ATIVA;BAIXADA;9022.31;6222.28;multiplas;1;1;1;alta;1
CASE-0184;SYN-CNPJ-000184;Empresa Sintética 0184;Sobradinho;Setor Sintético E, Q05, L025, Sobradinho, DF;Setor Sintético E, Q05, L025, Sobradinho, DF;BAIXADA;BAIXADA;9958.93;9958.93;consistente;0;0;0;nenhuma;0
CASE-0185;SYN-CNPJ-000185;Empresa Sintética 0185;Ceilândia;Setor Sintético Divergente, Q11, L046, Ceilândia, DF;Setor Sintético F, Q06, L026, Ceilândia, DF;BAIXADA;BAIXADA;24138.2;24138.2;territorial;0;1;0;media;1
CASE-0186;SYN-CNPJ-000186;Empresa Sintética 0186;Samambaia;Setor Sintético A, Q07, L027, Samambaia, DF;Setor Sintético A, Q07, L027, Samambaia, DF;ATIVA;ATIVA;21917.66;21917.66;consistente;0;0;0;nenhuma;0
CASE-0187;SYN-CNPJ-000187;Empresa Sintética 0187;Sobradinho;Setor Sintético B, Q08, L028, Sobradinho, DF;Setor Sintético B, Q08, L028, Sobradinho, DF;BAIXADA;ATIVA;18199.87;18199.87;cadastral;1;0;0;media;1
CASE-0188;SYN-CNPJ-000188;Empresa Sintética 0188;Ceilândia;Setor Sintético C, Q09, L029, Ceilândia, DF;Setor Sintético C, Q09, L029, Ceilândia, DF;BAIXADA;ATIVA;12002.52;12002.52;cadastral;1;0;0;media;1
CASE-0189;SYN-CNPJ-000189;Empresa Sintética 0189;Samambaia;Setor Sintético D, Q10, L030, Samambaia, DF;Setor Sintético D, Q10, L030, Samambaia, DF;BAIXADA;BAIXADA;16422.41;16421.0;ambiguo;0;0;0;baixa;0
CASE-0190;SYN-CNPJ-000190;Empresa Sintética 0190;Gama;Setor Sintético Divergente, Q16, L051, Gama, DF;Setor Sintético E, Q11, L031, Gama, DF;BAIXADA;ATIVA;22992.04;15856.58;multiplas;1;1;1;alta;1
CASE-0191;SYN-CNPJ-000191;Empresa Sintética 0191;Plano Piloto;Setor Sintético Divergente, Q17, L052, Plano Piloto, DF;Setor Sintético F, Q12, L032, Plano Piloto, DF;BAIXADA;ATIVA;9065.21;6251.87;multiplas;1;1;1;alta;1
CASE-0192;SYN-CNPJ-000192;Empresa Sintética 0192;Taguatinga;Setor Sintético A, Q13, L033, Taguatinga, DF;Setor Sintético A, Q13, L033, Taguatinga, DF;BAIXADA;BAIXADA;24470.09;24469.27;ambiguo;0;0;0;baixa;0
CASE-0193;SYN-CNPJ-000193;Empresa Sintética 0193;Ceilândia;Setor Sintético B, Q14, L034, Ceilândia, DF;Setor Sintético B, Q14, L034, Ceilândia, DF;ATIVA;ATIVA;22633.89;22633.89;consistente;0;0;0;nenhuma;0
CASE-0194;SYN-CNPJ-000194;Empresa Sintética 0194;Plano Piloto;Setor Sintético C, Q15, L035, Plano Piloto, DF;Setor Sintético C, Q15, L035, Plano Piloto, DF;ATIVA;ATIVA;9282.35;9282.35;consistente;0;0;0;nenhuma;0
CASE-0195;SYN-CNPJ-000195;Empresa Sintética 0195;Águas Claras;Setor Sintético D, Q16, L036, Águas Claras, DF;Setor Sintético D, Q16, L036, Águas Claras, DF;ATIVA;BAIXADA;14365.24;14365.24;cadastral;1;0;0;media;1
CASE-0196;SYN-CNPJ-000196;Empresa Sintética 0196;Ceilândia;Setor Sintético E, Q17, L037, Ceilândia, DF;Setor Sintético E, Q17, L037, Ceilândia, DF;ATIVA;ATIVA;3408.61;2434.72;valor;0;0;1;media;1
CASE-0197;SYN-CNPJ-000197;Empresa Sintética 0197;Águas Claras;Setor Sintético Divergente, Q23, L058, Águas Claras, DF;Setor Sintético F, Q18, L038, Águas Claras, DF;BAIXADA;BAIXADA;22864.31;22864.31;territorial;0;1;0;media;1
CASE-0198;SYN-CNPJ-000198;Empresa Sintética 0198;Sobradinho;Setor Sintético A, Q19, L039, Sobradinho, DF;Setor Sintético A, Q19, L039, Sobradinho, DF;ATIVA;ATIVA;11759.48;11759.48;consistente;0;0;0;nenhuma;0
CASE-0199;SYN-CNPJ-000199;Empresa Sintética 0199;Sobradinho;Setor Sintético Divergente, Q25, L060, Sobradinho, DF;Setor Sintético B, Q20, L040, Sobradinho, DF;ATIVA;ATIVA;17101.47;17101.47;territorial;0;1;0;media;1
CASE-0200;SYN-CNPJ-000200;Empresa Sintética 0200;Sobradinho;Setor Sintético C, Q21, L041, Sobradinho, DF;Setor Sintético C, Q21, L041, Sobradinho, DF;ATIVA;ATIVA;24697.47;24697.47;consistente;0;0;0;nenhuma;0
CASE-0201;SYN-CNPJ-000201;Empresa Sintética 0201;Gama;Setor Sintético D, Q22, L042, Gama, DF;Setor Sintético D, Q22, L042, Gama, DF;ATIVA;ATIVA;11692.48;11692.48;consistente;0;0;0;nenhuma;0
CASE-0202;SYN-CNPJ-000202;Empresa Sintética 0202;Gama;Setor Sintético E, Q23, L043, Gama, DF;Setor Sintético E, Q23, L043, Gama, DF;BAIXADA;BAIXADA;3113.01;3113.01;consistente;0;0;0;nenhuma;0
CASE-0203;SYN-CNPJ-000203;Empresa Sintética 0203;Samambaia;Setor Sintético F, Q24, L044, Samambaia, DF;Setor Sintético F, Q24, L044, Samambaia, DF;ATIVA;ATIVA;24820.96;24820.96;consistente;0;0;0;nenhuma;0
CASE-0204;SYN-CNPJ-000204;Empresa Sintética 0204;Gama;Setor Sintético A, Q25, L045, Gama, DF;Setor Sintético A, Q25, L045, Gama, DF;ATIVA;ATIVA;698.4;698.4;consistente;0;0;0;nenhuma;0
CASE-0205;SYN-CNPJ-000205;Empresa Sintética 0205;Plano Piloto;Setor Sintético Divergente, Q06, L066, Plano Piloto, DF;Setor Sintético B, Q26, L046, Plano Piloto, DF;ATIVA;BAIXADA;30311.6;20904.55;multiplas;1;1;1;alta;1
CASE-0206;SYN-CNPJ-000206;Empresa Sintética 0206;Águas Claras;Setor Sintético C, Q27, L047, Águas Claras, DF;Setor Sintético C, Q27, L047, Águas Claras, DF;ATIVA;ATIVA;4399.21;5865.61;valor;0;0;1;media;1
CASE-0207;SYN-CNPJ-000207;Empresa Sintética 0207;Ceilândia;Setor Sintético Divergente, Q08, L068, Ceilândia, DF;Setor Sintético D, Q28, L048, Ceilândia, DF;ATIVA;ATIVA;22633.39;22633.39;territorial;0;1;0;media;1
CASE-0208;SYN-CNPJ-000208;Empresa Sintética 0208;Guará;Setor Sintético Divergente, Q09, L069, Guará, DF;Setor Sintético E, Q29, L049, Guará, DF;BAIXADA;BAIXADA;1317.43;1317.43;territorial;0;1;0;media;1
CASE-0209;SYN-CNPJ-000209;Empresa Sintética 0209;Ceilândia;Setor Sintético F, Q30, L050, Ceilândia, DF;Setor Sintético F, Q30, L050, Ceilândia, DF;ATIVA;ATIVA;22785.88;22785.88;consistente;0;0;0;nenhuma;0
CASE-0210;SYN-CNPJ-000210;Empresa Sintética 0210;Gama;Setor Sintético A, Q01, L051, Gama, DF;Setor Sintético A, Q01, L051, Gama, DF;ATIVA;ATIVA;5419.47;5419.47;consistente;0;0;0;nenhuma;0
CASE-0211;SYN-CNPJ-000211;Empresa Sintética 0211;Samambaia;Setor Sintético B, Q02, L052, Samambaia, DF;Setor Sintético B, Q02, L052, Samambaia, DF;ATIVA;ATIVA;26058.23;20846.58;valor;0;0;1;media;1
CASE-0212;SYN-CNPJ-000212;Empresa Sintética 0212;Sobradinho;Setor Sintético Divergente, Q13, L003, Sobradinho, DF;Setor Sintético C, Q03, L053, Sobradinho, DF;BAIXADA;ATIVA;27246.51;18790.7;multiplas;1;1;1;alta;1
CASE-0213;SYN-CNPJ-000213;Empresa Sintética 0213;Sobradinho;Setor Sintético Divergente, Q14, L004, Sobradinho, DF;Setor Sintético D, Q04, L054, Sobradinho, DF;BAIXADA;ATIVA;2369.13;3948.55;multiplas;1;1;1;alta;1
CASE-0214;SYN-CNPJ-000214;Empresa Sintética 0214;Gama;Setor Sintético Divergente, Q15, L005, Gama, DF;Setor Sintético E, Q05, L055, Gama, DF;BAIXADA;ATIVA;3933.01;2712.42;multiplas;1;1;1;alta;1
